"<iframe src=""https://player.vimeo.com/video/708654015?h=c69c94c1b9"" width=""640"" height=""360"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen></iframe>",SORTIERUNG,AUSSTELLUNGSTITEL / PROJEKTTITEL (max. 60 ZmL),UNTERTITEL DE (max. 150 ZmL),UNTERTITEL EN (ÜBERNIMMT MAGDALENA)  (max. 150 ZmL),DATUM ,ZEIT START,ZEIT ENDE,ORT (UNI),STOCKWERK,RAUMBEZEICHNUNG  / Zusatz,ADRESSE TITEL,ADRESSE GASSE ,ADRESSE PLZ,ADRESSE MAPS LINK,FORMAT (Festivalprogramm) ,ABTEILUNG,INSTITUT ,TEXT KURZ DE (300-600 ZmL) ,TEXT KURZ EN PROJEKTTEXT (300-600 ZmL) ÜBERNIMMT MAGDALENA,YOUTUBE,VIMEO,SOUNDCLOUD,PROJEKTWEBSITE,NOTIZ HARDFACTS ÜBERSCHRIFT DE,NOTIZ HARDFACTS TEXT DE,NOTIZ HARDFACTS ÜBERSCHRIFT EN ,NOTIZ HARDFACTS TEXT EN ,NOTIZ COPYTEXT ÜBERSCHRIFT DE,NOTIZ COPYTEXT TEXT DE ,NOTIZ COPYTEXT ÜBERSCHRIFT EN,NOTIZ COPYTEXT TEXT EN,AAA (Angewandte Abschluss Arbeiten):, 
80,80,Substructure,,,2022-06-30,11:00,21:00,Expositur Paulusplatz,,,,,,,Ausstellung in der Stadt,Skulptur und Raum,Institut für Bildende und Mediale Kunst,"Die eintägige Ausstellung am Donnerstag, 30. Juni 2022 zeigt in und um die Expositur Paulusplatz aktuelle Arbeiten von Studierenden der Abteilungen Skulptur und Raum und Ortsbezogene Kunst. 
Ein Semester lang widmeten wir uns in der gleichnamigen Lehrveranstaltung den Inhalten, die den jeweiligen künstlerischen Arbeiten zugrunde liegen, sowie deren Übersetzung in Form und Material. Ähnlich wie die sogenannte Substruktur in der Architektur dem Gebäude eine solide Grundfläche bietet, schafft eine thematische Auseinandersetzung eine Basis für die Skulptur. 
(Eva Engelbert)","This one-day exhibition on Tuesday June 30 presents recent works by students of the Sculpture and Space and Site-Specific Art departments in and around the university building at Paulusplatz. For one semester, in the course of the same name, we dedicated ourselves to the content underlying each artwork and its translation into form and material. Much as the so-called substructure in architecture provides a building with a solid foundation, a thematic examination creates the sculpture’s basis. (Eva Engelbert) ",,,,,,,,,Beteiligte ,"Luisa Berghammer, Lucia Buchberger, Jonathan Dellago, Leandra Erdödy, Sebastian Haaf & Jonathan Pielmeier, Gabriel Huth, Raisa Kudasheva, Simon Lindenthaler, Carlotta Lösch-Will & Anna Vosse Carpaij, Katharina Mährlen, Luīze Nežberte, Julian Siffert, Lisa Sifkovits, Magdalena Stückler, Juan Francisco Vera",Contributers,"Luisa Berghammer, Lucia Buchberger, Jonathan Dellago, Leandra Erdödy, Sebastian Haaf & Jonathan Pielmeier, Gabriel Huth, Raisa Kudasheva, Simon Lindenthaler, Carlotta Lösch-Will & Anna Vosse Carpaij, Katharina Mährlen, Luīze Nežberte, Julian Siffert, Lisa Sifkovits, Magdalena Stückler, Juan Francisco Vera",,
81,81,Getting Better,growing stronger warm and wilder,growing stronger warm and wilder,"2022-06-01, 2022-06-02, 2022-06-03, 2022-06-04, 2022-06-05, 2022-06-06, 2022-06-07, 2022-06-08, 2022-06-09, 2022-06-10, 2022-06-11, 2022-06-12, 2022-06-13, 2022-06-14, 2022-06-15, 2022-06-16, 2022-06-17, 2022-06-18, 2022-06-19, 2022-06-20, 2022-06-21, 2022-06-22, 2022-06-23, 2022-06-24, 2022-06-25, 2022-06-26, 2022-06-27, 2022-06-28, 2022-06-29",,,VIE,,,Georg Kargl PERMANENT,"Schleifmühlgasse 17, 1040 Wien",1040,https://goo.gl/maps/SBCAdKQQVLQxtxLp8,Ausstellung in der Stadt,Transmediale Kunst,Institut für Bildende und Mediale Kunst,"„Getting better“ bildet einen Prozess ab, in dem vier Künstler*innen den Ausstellungsraum einer Galerie dazu nützen, eine gemeinsame Identität, einen gemeinsamen Sound zu entwickeln. Die Ausstellungszeit wird dazu genutzt, eine Coverversion von Cass Elliots Song „It's Getting Better“ zu entwickeln und zu proben. Das musikalische, grafische und fotografische Material, das während der Zeit von „Getting Better“ entsteht, wird bei der Finissage der Ausstellung in Form einer audiovisuellen Installation präsentiert, die diesen Prozess der Entwicklung einer kollektiven Identität dokumentiert.","“Getting better” is an organic process in which four artists enter the exhibition space of a gallery to form a common identity and a common sound. The exhibition time will be used by the artists to develop and rehearse a cover version of Cass Elliot’s song “It's Getting Better.” The musical, graphic, and photographic material created throughout the duration of “Getting Better” will be exhibited at the exhibition’s closing reception in the form of an audiovisual installation documenting this process of developing a collective identity.",,,,,Öffnungszeiten,"Mi–Fr, 13:00–19:00 + Sa, 11:00–16:00",Opening hours,"Wed–Frr, 13:00–19:00 + Sat, 11:00–16:00",Beteiligte ,"Kirils Ecis, Eliška Jahelková, Marlene Stahl, Daniel Stolzlederer, kuratiert von Alexander Martinz",Contributers,"Kirils Ecis, Eliška Jahelková, Marlene Stahl, Daniel Stolzlederer, curated by Alexander Martinz",,
82,82,MATCH,,,"2022-06-21, 2022-06-22, 2022-06-23, 2022-06-24, 2022-06-25, 2022-06-26, 2022-06-27, 2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",,,VIE,,,Austrian Fashion Association,Lindengasse 27,1070,https://goo.gl/maps/Yd5NozoczmjrUW2h9,Ausstellung in der Stadt,Angewandte Fotografie und zeitbasierte Medien,Institut für Design,"Ein Kooperationsprojekt mit Studierenden der Modeklasse und der Abteilung für angewandte Fotografie und zeitbasierte Medien
Finissage: 2022-07-012022, 18:00 Uhr","A collaborative project with students of the Fashion class and the department for Applied Photography and Time-Based Media. Closing reception: July 1, 2022, 6 p.m. ",,,,applied-photography.at,Öffnungszeiten,"Mo-Do, 10:00–16:00",Opening hours,"Mon-Thu, 10:00–16:00",Beteiligte ,Studierende der Abteilungen Mode und Angewandte Fotografie und zeitbasierte Medien,Contributers,Students of the Departments of Fashion and Applied Photography and Time-Based Media,,
83,83,"Al Yemen al saeed: Arabia Felix?
 اليمن السعيد
",,,2022-07-01,14:00,22:00,VIE,,,ENTRE,Burggasse 24/4,1070,https://goo.gl/maps/WEZ2yEBtMpJpNit19,Ausstellung in der Stadt,Vienna Master of Arts in Applied Human Rights,,"Arabia Felix regt uns zum Nachdenken über den Jemen an. Es verweist auf das Glück der Menschen in vergangenen Tagen und in einer Zeit, die vor uns liegt. Heute befindet sich der Jemen in einem verheerenden Krieg, den die UNO als die schlimmste humanitäre Krise der Gegenwart bezeichnet. Jemens Naturschönheiten, Kunst und Kultur drohen in einem „Vergessenen Krieg"" verloren zu gehen. Als Menschenrechts-Studierende können wir nicht akzeptieren, einen Krieg zu „vergessen"", sondern fordern dazu auf, sich an den Jemen zu erinnern und gemeinsam zu handeln – auch über diese Ausstellung hinaus.","Arabia Felix moves us to think about Yemen. It points to the happiness of people in former times and in the years ahead. Today, Yemen is caught up in a devastating war the UN has described as the “worst humanitarian crisis of our time.” Yemen’s great natural beauty, timeless culture, and deeply moving contemporary art are in danger of being lost in this “forgotten war.” As human rights students, we can’t accept “forgetting” a war. Instead, we call upon the public to remember Yemen and act together—well beyond the boundaries of the exhibition.",,,,,,,,,Beteiligte ,Organisiert von Generation 9 – Studierende von Vienna Master of Arts in Applied Human Rights,Contributers,Organized by Generation 9 – students of the Vienna Master of Arts in Applied Human Rights,,
84,84,Faux Legs,,,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VIE,,,Green Doors,Kempelengasse 8,1100,https://goo.gl/maps/swtq8F4mfSRUVBCU6,Ausstellung in der Stadt,"TransArts, Grafik und Druckgrafik",Institut für Bildende und Mediale Kunst,"„Faux Legs“ simuliert einen beschaulichen zeitlosen privaten Raum, der zwischen der Monotonie des Seins und den existenziellen Bedürfnissen des Alltags driftet. Der Haushalt wird als Reflektion des privaten Glücks, als Fenster nach draußen dargestellt. Dessen Rolle ist es, der trägen Unfähigkeit entgegenzuwirken, den ewig dauernden Moment eines Sonntagnachmittags aufleben zu lassen. Der Körper der Besucher*innen wird langsam in Watte gepackt – innerhalb der geistigen Grenzen isolierter Objekte, Erinnerungen und Gedanken treibend.","“Faux Legs” simulates a tranquil, timeless private space that drifts between the monotony of being and the existential needs of everyday life. The household becomes a reflection on a private happiness enacted as a window to the outside. Its role is to counteract a lethargic inability to relive the everlasting moment of a Sunday afternoon. The visitor’s body is slowly wrapped in cotton wool—floating within the mental confines of isolated objects, memories, and thoughts.",,,,,,,,,Beteiligte ,"Teuta Jonuzi, Daria Lytvynenko, Selina Rottmann, Miriam Schenkirz, Kai Philip Trausenegger, Eva Yurkova, Ramiro Wong  ",Contributers,"Teuta Jonuzi, Daria Lytvynenko, Selina Rottmann, Miriam Schenkirz, Kai Philip Trausenegger, Eva Yurkova, Ramiro Wong  ",,
85,1,DA IST NICHTS,Ein ortsunabhängiger Audiowalk fürs Smartphone,An audio walk for smartphones,"2022-06-28, 2022-06-29, 2022-06-30, 2022-07-01",11:00,21:00,VZA 7,004,"SR 24 + Terrasse (VZA 7, 2. OG)",,,,,Audio,Sprachkunst,Institut für Sprachkunst,"Der 30-minütige Audiowalk DA IST NICHTS führt durch ein
vielstimmiges Erfahrungsarchiv und formt dabei die sprachliche
Gestaltung queerfeministischer Perspektiven auf das Erleben von
Körperlichkeit im öffentlichen Raum.
Mitzunehmen: Smartphone mit Internet-Zugang, Kopfhörer","The 30-minute audio walk DA IST NICHTS (THERE’S NOTHING THERE) leads visitors through a polyphonic archive of experiences, carving out a linguistic form for queer feminist perspectives on the experience of physicality in public space. Please bring a smartphone with internet access and a set of headphones. ",,,,,,,,,Beteiligte ,"Studierende des Instituts für Sprachkunst: Leonie Lorena Wyss, Valerie Prinz und Emil Alicia Huppenkothen ",Contributers,"Students of the Institute for Language Arts: Leonie Lorena Wyss, Valerie Prinz and Emil Alicia Huppenkothen ",,
86,2,Bücherflohmarkt,„Hol dir dein persönliches Schnäppchen!“,,2022-06-28,14:00,17:00,VZA 7,050,Universitätsbibliothek,,,,,Buch,Universitätsbibliothek,Universitätsbibliothek,"Es ist so weit, endlich! Der langersehnte, allseits beliebte Bücherflohmarkt der Universitätsbibliothek ist nach langer coronabedingter Pause wieder da. Am Dienstag, 2022-06-28 ab 14:00 Uhr werden vor dem Eingang zur Bibliothek Bücher zu günstigen Preisen angeboten. Schau vorbei und hol dir dein persönliches Schnäppchen! Solange der Vorrat reicht, ausschließlich Barzahlung möglich.

Öffnunsgzeiten der Universitätsbibliothek beim Angewandte Festival 
Di (2022-06-28) – Do (30. 6.), 11:00–18:00 Uhr, Fr (1. 7.), 11:00–16:00 Uhr","It’s finally here! After a long break due to corona, the university library’s long-anticipated, well-loved flea market for books is back. On Tuesday, June 28 from 2:00 p.m., books will be on sale at reduced price in front of the library entrance. Stop by and snap up your very own bargain! For as long as supplies last; cash payment only.

Opening hours of the University Library during the Angewandte Festival: 
Tuesday–Thursday 11 a.m. to 6 p.m.
Friday 11 a.m. to 4 p.m.",,,,,,,,,,,,,,
87,3,Sicc.Zine Kollektiv x Bücherflohmarkt,ccc,,2022-06-28,14:00,17:00,VZA 7,050,Universitätsbibliothek,,,,,Buch,,,"Das Künstler*innen- und Kurator*innen-Kollektiv Sicc.Zine setzt sich aus Absolvent*innen von unterschiedlichen Abteilungen der Angewandten zusammen. Sicc.Zine ist ein kollaboratives Projekt, das sich auf die Herausgabe von experimentellen Comic-Zines und auf kuratorische Tätigkeiten fokussiert. Das Projekt bezweckt die institutionsübergreifende Vernetzung von Kunstschaffenden und soll als Brückenbauer zwischen Kunst-Studierenden, bereits absolvierten Künstler*innen, Kunsttheoretiker*innen und Kunsthistoriker*innen fungieren. Gegründet vor zwei Jahren in den Anfangs-Monaten der Covid-19-Pandemie, versucht das Kollektiv, mit kreativen Herangehensweisen einen neuen Zugang zum omnipräsenten Thema „Krankheit” zu finden.","Sicc.Zine, a collective of artists and curators, consists of graduates from various departments of the Angewandte. A collaborative project focused on curating and publishing experimental comic zines, Sicc.Zine aims to network artists across institutions and build bridges between art students, artist graduates, art theorists, and art historians. Founded two years ago in the early months of the Covid-19 pandemic, the collective seeks a new, creative approach to the ever-present topic of “disease.”",,,,sicczine.com,,,,,Beteiligte ,"Sicc.Zine Kollektiv: Marlene Heidinger, Miryana Sarandeva, Jana Schuller-Frank, Lukas Brunner",Contributers,"Sicc.Zine Collective: Marlene Heidinger, Miryana Sarandeva, Jana Schuller-Frank, Lukas Brunner",,Neu
88,4,Reading Rave x MAK,Bring your own book!,,2022-06-29,17:00,19:00,VIE,,,MAK-Garten (Museum für angewandte Kunst),Zugang über den OKP-Innenhof,1010,https://goo.gl/maps/7xVGipukKpnuFKup6,Buch,Grafik und Werbung,Institut für Design,"Reading Rave ist eine Eventserie für alle, die wieder mehr Bücher lesen wollen. Fremde treffen sich zum gemeinsamen Lesen im eigenen Buch. Wir lesen zusammen, aber jede*r für sich. Julia Bichler, Initiatorin des Events, ist Grafikdesignerin und Illustratorin aus Wien. Mit ihrem Projekt Reading Rave hat sie im Jänner 2022 die Klasse für Ideen abgeschlossen. Bücher sind für sie eine Erinnerung daran, dass wir in der echten Welt leben. Offline in Abwesenheit von Vergleich und Leistungsdruck finden Reading Raves statt. 
BYOB (Bring Your Own Book)

Für den Reading Rave öffnet das MAK erstmals wieder das direkte Verbindungstor vom Innenhof der Angewandten zum MAK-Garten. Von 15:00 bis 18:00 Uhr können die Ausstellungen im MAK direkt über den Museumseingang vom Garten besucht werden (bei freiem Eintritt für Studierende der Angewandten). ","“Reading Rave” is an event series for anyone who wants to start reading more again. Strangers get together and bring their own books. While we read together in the same room, each individual is reading on their own. Julia Bichler, who initiated the event, is a graphic designer and illustrator from Vienna; “Reading Rave” is the project she presented at the end of the Class for Ideas in January of 2022. To her mind, books remind us that we live in the real world. The reading raves take place offline; results are not compared, and there’s no pressure to perform. For the “Reading Rave,” the MAK will open the gate directly connecting the courtyard of the Angewandte with the MAK Garden for the first time again (free entry for students of the Angewandte). BYOB (Bring Your Own Book)! ",,,,instagram.com/readingrave,,,,,Beteiligte ,Julia Bichler (Grafik und Werbung) in Kooperation mit dem MAK (Museum für angewandte Kunst Wien),Contributers,Julia Bichler (Graphics and Advertising) in cooperation with MAK (Museum of Applied Arts Vienna),Julia Bichler,
89,5,Buchpräsentation EDU:TRANSVERSAL,Aktueller Stand transversaler Forschung im Bildungswesen,Current State of Transversal Research in Education,2022-06-30,17:00,,VZA 7,020,Terrasse,,,,,Buch,Zentrum Didaktik für Kunst und interdisziplinären Unterricht,"Institut für Kunstwissenschaften, Kunstpädagogik und Kunstvermittlung","Interdisziplinarität und fächerdurchschreitendes, transversales Denken gehört in zeitgenössischer (Hochschul-/Schul-)Bildung zu den Basiskomponenten des eigenen Sinnfeldes. Herausforderungen einer zunehmend unbeständigen Welt erfordern Lösungen, die divergente Perspektiven miteinander in Einklang bringen. Das Journal EDU:TRANSVERSAL eröffnet die Möglichkeit Forschungsergebnisse (inter-)nationaler transversaler Epizentren zusammenzutragen, um einen transversalen Turn der Bildung auszulösen. Die Publikation ist in der Buchreihe der Angewandten – „Edition Angewandte"" – im de Gruyter Verlag erschienen.","Inter- and cross-disciplinary, transversal thinking are fundamental components of meaning creation in contemporary (university and school) education. The challenges presented by an increasingly complex and volatile world require solutions that reconcile divergent perspectives. The journal EDU:TRANSVERSAL offers the possibility of bringing together research results from (inter-)national transversal epicenters and thus mapping the state of the art of interdisciplinarity to spark a transversal turn in education. The publication is part of the university’s book series “Edition Angewandte,” published by de Gruyter.",,,,,,,,,Beteiligte ,"Ruth Mateus-Berr, Anja Seipenbusch, Pia Scharler, L. Vanessa Gruber",Contributers,"Ruth Mateus-Berr, Anja Seipenbusch, Pia Scharler, L. Vanessa Gruber",,
90,6,Launch Magazine ABSTRAKT Issue 3+4,,,2022-07-01,15:00,,Oskar-Kokoschka-Platz,,,,,,,Buch,Institut für Architektur,Institut für Architektur,"ABSTRAKT, Architekturplattform und Magazin des I oA, widmet sich den Ideen und Gedanken von kreativen Köpfen innerhalb und außerhalb der Universität, gepaart mit aktuellen Arbeiten unserer Studierenden, um die Visionen dieser Architekturschule widerzuspiegeln.
Der Launch der zweiten Printausgabe während des Festivals ermöglicht es uns, Projekte zu präsentieren und Diskussionen anzuregen, nicht nur um die Interaktion zwischen den drei Studios zu stärken, sondern auch um diesen Austausch des Instituts mit der gesamten Angewandten zu teilen.","ABSTRAKT, the architectural platform and magazine of the I oA, is dedicated to exploring thoughts and ideas through conversations with creatives inside and outside the university, juxtaposing them with recent works by our students to reflect the visions of this architecture school. 
The launch of our second printed edition during the Festival allows us to showcase projects and encourage discussion not only to foster interaction between the three studios, but also to share the Institute’s efforts with the entire Angewandte community.",,,,ioa.angewandte.at/publications/abstrakt,,,,,Beteiligte ,"Studierende des Instituts für Architektur: Lisa-Marie Androsch, Jade Bailey, Adriana Boeck, Velina Iantcheva, Moritz Kuehn, Xavier Madden, Emma Sanson, Patricia Tibu, Viktoria Tudzharova",Contributers,"Students of the Institute of Architecture: Lisa-Marie Androsch, Jade Bailey, Adriana Boeck, Velina Iantcheva, Moritz Kuehn, Xavier Madden, Emma Sanson, Patricia Tibu, Viktoria Tudzharova",,
91,7,User Stories: Videos erzählen Geschichten zu Produkten,Sechs Fallstudien aus dem Alltag,Six Case Studies of Daily Life,2022-06-28,14:00,,OKP-Schwanzer-Trakt,004,Studio ,,,,,Diskurs,Industrial Design 1,Institut für Design,"Jedes Produkt erzählt mehrere Geschichten. Zur Geschichte seines Materials, seiner Semantik und seiner Funktion kommen die lebendigen Geschichten seiner Nutzung hinzu. Wie wird der Gegenstand aktuell im Alltag eingesetzt? Welche persönliche Bindung haben die Nutzerinnen und Nutzer zu ihm, was bedeutet ihnen das Produkt? Wie kam es in ihr Leben, und welche Funktion geben sie ihm? Die kurzen Videos zeichnen die User Stories eines Küchenmixers und einer Parkbank, eines Buchs sowie einer Duffle Bag mit Reißverschluss oder die von einem Paar Schuhe und von Lautsprechern auf.","Every product tells several stories. Apart from the story of its materials, semantics, and function, we should add the stories of its users. How do they incorporate the product into their everyday life? What kind of personal connection do they have to the product, what does it mean to them? How did the product become part of their life, and what functions do they attribute to it? The short videos present users’ stories of a kitchen blender and a park bench, a book and a zippered duffle bag, a pair of shoes and speakers. ",,,,,,,,,Beteiligte ,"Sandra Hofmeister und Studierende der Vorlesung „Produktdesign: Historischer Überblick“: Elen Abrahamyan, Julian Burlacu, Emil Maria Leckert, Maximilian Oberacher, Jan Erik Penka, Michelle Schäfer, Juanita Peireira",Contributers,"Sandra Hofmeister and students of the lecture ""Product Design: Historical Overview"": Elen Abrahamyan, Julian Burlacu, Emil Maria Leckert, Maximilian Oberacher, Jan Erik Penka, Michelle Schäfer, Juanita Peireira",,
92,8,SILENT EARTH – Biodiversitäts-Reparatur am Oskar-Kokoschka-Platz,Ein Gespräch über Biodiversitätsverlust und Grünräume in der Stadt,A conversation about the loss of biodiversity and green spaces in the city,2022-06-28,15:00,,Oskar-Kokoschka-Platz,,,,,,,Diskurs,Klasse für Alle,Klasse für alle,"Eine Magerwiese mit angrenzenden Gehölzstrukturen am Oskar-Kokoschka-Platz, auf der Schafgarbe, weiße Heideschnecken und eine Vielzahl von Insekten leben, ist Ausgangspunkt für die Ausverhandlung der Interessen nichtmenschlicher Organismen und deren Berücksichtigung in der Gestaltung von öffentlichem Raum. Vor dem Hintergrund der Vielfachkrisen setzen wir uns mit dem Ort und seiner biodiversen Bewohner*innenschaft neu in Beziehung, sammeln Daten in einem Citizen-Science-Projekt und entwickeln konkrete Handlungsansätze für den Ort als Biodiversitätsfläche. 
Ein Gespräch an der Magerwiese am Oskar-Kokoschka-Platz mitMagistrats-Vertreter*innen und Gästen ","A meagre meadow with adjacent shrubbery at Oskar-Kokoschka-Platz, where yarrow, white heather snails, and a variety of insects live, forms the starting point for negotiating the interests of non-human organisms and taking them into account while designing public space. In the midst of the sixth great extinction and the climate catastrophe, we relate to the place and its biodiverse inhabitants in a new way, collect data in a citizen’s science project, and develop concrete approaches for the site as a biodiversity pilot area and beyond in an open process. A conversation on the meadow with municipal representatives and guests. ",,,,,,,,,Beteiligte ,Isa Klee für die Klasse für Alle mit Magistrats-Vertreter*innen und Expert*innen,Contributers,"Isa Klee for the ""Klasse für Alle"" with representatives of the Municipality of Vienna and experts from the field",,NEU
93,9,Vortrag von Bazon Brock,In der Ausstellung Schule Oberhuber. Eine Sammlung als Programm,"A Talk by Bazon Brock – in the Exhibition ""Schule Oberhuber. A Collection as Program""",2022-06-28,19:00,,VIE,Universitätsgalerie der Angewandten im Heiligenkreuzer Hof,,,,,,Diskurs,Kunstsammlung und Archiv ,Kunstsammlung und Archiv ,"Der legendäre Kulturvermittler, Ästhetik-Philosoph, „Änderungsdenker“ und Fluxus-Künstler Bazon Brock (*1939) spricht über die Konzeption seiner Lehre an der Angewandten in den späten 1970er-Jahren. Im Team des damaligen Rektors Oswald Oberhuber prägte er eine Künstler*innen-Generation.","Bazon Brock (*1939)—the legendary cultural mediator, philosopher of aesthetics, “change thinker,” and Fluxus artist—talks about the concepts behind his teaching at the Angewandte in the late 1970s. As part of the team of Oswald Oberhuber, the rector at that time, Brock influenced an entire generation of artists.",,,,,,,,,,,,,,
94,10,Channel Clayton,Arena des Wissens,Arena of Knowledge,2022-06-29,15:00,,VZA 7,004,Atrium,,,,,Diskurs,Kulturwissenschaften,"Institut für Kunstwissenschaften, Kunstpädagogik und Kunstvermittlung","Beim Channel Clayton können Besucher*innen mit Verfasser*innen von wissenschaftlichen Abschlussarbeiten des Instituts für Kunstwissenschaften, Kunstvermittlung und Kunstpädagogik zusammentreffen und mit ihnen in einem 15-minütigen Gespräch über Thesen und Ergebnisse ihrer Arbeiten diskutieren. 

Während der Dialoge an den einzelnen Tischen bildet sich eine Arena des Wissens und ein Raum demokratischen Diskurses, in dem Gedanken präsentiert und Ideen formuliert werden können.","At Channel Clayton, visitors can meet authors of academic theses from the Institute of Art Sciences and Art Education and have a 15-minute conversation with them about their theses and the results of their work. During the dialogues at the individual tables, an arena of knowledge and a space for democratic discourse take shape in which thoughts can be presented and ideas formulated.",,,,,,,,,Beteiligte ,Verfasser*innen wissenschaftlicher Abschlussarbeiten der Angewandten,Contributers,Authors of Theory Theses of the Angewandte ,,
95,11,Panel–Sonic Sensibility ,Sound als Forschungsinstrument,Sound as a Research Tool,2022-06-29,16:00,17:30,PSK,005,Café Exchange,,,,,Diskurs,Angewandte Interdisciplinary Lab ,Besondere Universitätseinrichtung,"Das Panel untersucht Sound sowohl in seiner materiellen und relationalen Beschaffenheit, als auch in seiner sozialen und politischen Dimension. Eingeladen sind Klangforscher*innen, die bildnerisch aber auch reflexiv mit Sound arbeiten. Wie kann situiertes Hören und akustisches Denken das Handeln beeinflussen, wie eine feministische Praxis den Prozess des Komponierens? Was macht Sound in seiner Materie aus, und wie kann Sound die menschliche Wahrnehmung von Raum, Zeit und Bewegung verändern?","This panel investigates sound in its material and relational qualities as well as social and political dimensions. We’ve invited sound researchers working with sound visually and reflectively. How can situated listening and acoustic thinking influence action, how does a feminist practice affect the composing process? What constitutes sound in its material substance, and how can sound change the human perception of space, time, and movement?",,,,,,,,,Beteiligte ,"Ricarda Denzer, Peter Kutin, Pia Palme & Karl Salzmann, Moderation: Elisabeth Falkensteiner",Contributers,"Ricarda Denzer, Peter Kutin, Pia Palme & Karl Salzmann, Moderation: Elisabeth Falkensteiner",,
96,12,NEW ORDER @ ID 1,,,2022-06-29,18:00,,OKP-Schwanzer-Trakt,004,Studio ,,,,,Diskurs,Industrial Design 1,Institut für Design,Im Zuge des Angewandte Festival wird eine Case-Study in Zusammenarbeit mit der Firma Hay präsentiert. Dabei wurden – aus der Sicht von Studierenden und auf deren Bedürfnisse zugeschnitten – neue Wege für die Verwendung des New-Order-Regalsystems untersucht.,"In the course of the Angewandte Festival, a case study will be presented in cooperation with the company Hay. New ways of using the New Order shelving system were examined from the point of view of students and reconfigured to their needs.",,,,,,,,,Beteiligte ,"Rita Schneeberger, Liza Sočan, Johanna Defant, Selin Göksu in Zusammenarbeit mit der Designmarke Hay",Contributers,"Rita Schneeberger, Liza Sočan, Johanna Defant, Selin Göksu in collaboration with the design brand Hay",,
97,13,Proposals for Going Public and Staying Opaque,,,2022-06-29,18:00,,VZA 7,020 ,Terrasse,,,,,Diskurs,Artistic Strategies,Institut für Kunst und Gesellschaft,"Die redaktionelle Plattform vereint Student*innenprojekte, die im Rahmen von Lehrveranstaltungen der Abteilung Artistic Strategies entstanden. Diese reichen vom „Recht auf Undurchsichtigkeit"" als Möglichkeit zur Auseinandersetzung mit dem Gesehenwerden bis zu Überlegungen darüber, wie uns Kunst unterstützen kann, neue Formen ziviler Wahrnehmung zu erschließen. Die Plattform ist ein selbstreflexiver Raum, in dem sowohl singuläre Positionen als auch potenzielle neue Formen des Kollektiven artikuliert werden. Die Kuratorin, Schriftstellerin und Pädagogin Övül Ö. Durmusoglu wird an der Eröffnung der Plattform als Moderatorin teilnehmen, die die Vorschläge der Studierenden vermittelt und mit ihnen in einen Dialog tritt.","This editorial platform brings together projects developed by the students throughout the Artistic Strategies courses. Ranging from the “right to opacity” as a space for negotiating ways of being seen to investigations into how art can help us envision new forms of civic imagination, the platform is a self-reflexive space articulating at once singular positions and potential new forms of collectivity. Curator, writer, and educator Övül Ö. Durmusoglu will participate in the platform’s launch as a moderator, mediating students’ proposals and engaging in dialogue with them.",,,,,,,,,Beteiligte ,"Bouchra Khalili, Antoine Turillon, Stephanie Misa, Anna Witt und Övül Ö. Durmusoglu gemeinsam mit Studierenden der Abteilung Artistic Strategies",Contributers,"Bouchra Khalili, Antoine Turillon, Stephanie Misa, Anna Witt, Övül Ö. Durmusoglu, together with students of the Department of Artistic Strategies ",,
98,14,Kuratorisch Forschen ,An der Schnittstelle von Theorie & Praxis,At the Intersection of Theory & Practice,2022-06-30,15:00,,VZA 7,004,Auditorium,,,,,Diskurs,/ecm – Masterlehrgang für Ausstellungstheorie & -praxis,"Institut für Kunstwissenschaften, Kunstpädagogik und Kunstvermittlung",Leseperformance und Präsentationen des /ecm-Lehrgangs 2020–22. Einblicke in aktuelle Fragen und Vorgangsweisen einer vielfältigen Forschung im kuratorischen Feld.,Reading performance and presentations of the /ecm class of 2020–22. Insights into current questions and diverse research procedures in the curatorial field.,,,,ecm.ac.at,,,,,Beteiligte ,Studierende des /ecm Master-Lehrgangs 2020-22,Contributers,"Students of the /ecm–Master Programme 2020-22
",,
